Input,output
What's in my right hand?,0
What's in my left hand?,0
What is on my head?,0
How do you implement a binary search?,1
What is on my face?,0
What is on my chest?,0
Explain the difference between HTTP and HTTPS,1
What is on my wrist?,0
Describe how neural networks work.,1
What is on my leg?,0
What is an API?,1
What is the price of a rocket?,1
What is on my knee?,0
Explain machine learning basics.,1
What is on my arm?,0
How to calculate the area of a circle?,1
What is on my back?,0
How do you define artificial intelligence?,1
What is under my foot?,0
Explain recursion in programming.,1
